ID,Exercise,Short YouTube Demonstration,In-Depth YouTube Explanation,Difficulty Level,Target Muscle Group ,Prime Mover Muscle,Secondary Muscle,Tertiary Muscle,Primary Equipment ,# Primary Items,Secondary Equipment,# Secondary Items,Posture,Single or Double Arm,Continuous or Alternating Arms ,Grip,Load Position (Ending),Foot Elevation,Combination Exercises,Movement Pattern #1,Movement Pattern #2,Movement Pattern #3,Plane Of Motion #1,Plane Of Motion #2,Plane Of Motion #3,Body Region,Force Type,Mechanics,Laterality,Primary Exercise Classification
1220,Single Arm Cable Reverse Grip Bicep Curl,Video Demonstration,,Novice,Forearms,Brachioradialis,Biceps Brachii,Brachialis,Cable,1.0,None,0,Standing,Single Arm,Continuous,Pronated,Other,No Elevation,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Unilateral,Bodybuilding
1221,Dumbbell Goblet Low Switch Cossack Squat,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Dumbbell,1.0,None,0,Standing,Double Arm,Continuous,Goblet,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
1222,Double Kettlebell Clean to Alternating Thruster,,,Intermediate,Shoulders,Anterior Deltoids,Quadriceps Femoris,Gluteus Maximus,Kettlebell,2.0,None,0,Standing,Double Arm,Alternating,Pronated,Overhead,No Elevation,Combo Exercise,Hip Hinge,Vertical Push,Knee Dominant,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Unsorted*
1223,Double Kettlebell Clean to Alternating Overhead Press,,,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell,2.0,None,0,Standing,Double Arm,Alternating,Pronated,Overhead,No Elevation,Combo Exercise,Hip Hinge,Vertical Push,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Unsorted*
1224,Double Kettlebell Bottoms Up Clean to Thruster,,,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell,2.0,None,0,Standing,Double Arm,Continuous,Bottoms Up,Overhead,No Elevation,Combo Exercise,Vertical Push,Hip Hinge,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Bilateral,Unsorted*
1225,Double Kettlebell Bottoms Up Clean to Alternating Thruster,,,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell,2.0,None,0,Standing,Double Arm,Alternating,Bottoms Up,Overhead,No Elevation,Combo Exercise,Vertical Push,Hip Hinge,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Bilateral,Unsorted*
1226,Double Kettlebell Bottoms Up Clean to Alternating Overhead Press,,,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,Gluteus Minimus,Kettlebell,2.0,None,0,Standing,Double Arm,Alternating,Bottoms Up,Overhead,No Elevation,Combo Exercise,Vertical Push,Hip Hinge,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Unsorted*
1227,Double Kettlebell Clean to Split Jerk,,,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell,2.0,None,0,Staggered Stance,Double Arm,Continuous,Pronated,Overhead,No Elevation,Combo Exercise,Hip Hinge,Vertical Push,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
1228,Double Kettlebell Bottoms Up Clean to Split Jerk,,,Advanced,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell,2.0,None,0,Staggered Stance,Double Arm,Continuous,Bottoms Up,Overhead,No Elevation,Combo Exercise,Vertical Push,Hip Hinge,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
1229,Double Dumbbell Front Rack Cossack Squat,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Dumbbell,2.0,None,0,Standing,Double Arm,Continuous,Neutral,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
1230,Double Dumbbell Overhead Alternating Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Dumbbell,2.0,None,0,Standing,Double Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
1231,Double Dumbbell Overhead Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Dumbbell,2.0,None,0,Standing,Double Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
1232,Double Dumbbell Low Hold Alternating Cossack Squat,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Dumbbell,2.0,None,0,Standing,Double Arm,Continuous,Neutral,Low Hold,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
1233,Double Dumbbell Low Hold Cossack Squat,,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Dumbbell,2.0,None,0,Standing,Double Arm,Continuous,Neutral,Low Hold,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
1234,Single Arm Kettlebell Clean to Split Jerk,,,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell,1.0,None,0,Staggered Stance,Single Arm,Continuous,Pronated,Overhead,No Elevation,Combo Exercise,Hip Hinge,Vertical Push,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
1235,Alternating Single Arm Kettlebell Clean to Split Jerk,,,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell,1.0,None,0,Staggered Stance,Single Arm,Alternating,Pronated,Overhead,No Elevation,Combo Exercise,Hip Hinge,Vertical Push,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
1236,Suspension Low Switch Cossack Squat,,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Suspension Trainer,1.0,None,0,Standing,Double Arm,Continuous,Neutral,No Load,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
1237,Suspension Cossack Squat,Video Demonstration,,Beginner,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Suspension Trainer,1.0,None,0,Standing,Double Arm,Continuous,Neutral,No Load,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
1238,Single Arm Suspension Alternating Cossack Squat,,,Beginner,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Suspension Trainer,1.0,None,0,Standing,Single Arm,Continuous,Neutral,No Load,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
1239,Single Arm Suspension Contralateral Cossack Squat,,,Beginner,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Suspension Trainer,1.0,None,0,Standing,Single Arm,Continuous,Neutral,No Load,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
1240,Single Arm Suspension Low Switch Cossack Squat,,,Beginner,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Suspension Trainer,1.0,None,0,Standing,Single Arm,Continuous,Neutral,No Load,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
1241,Suspension Foot Elevated Cossack Squat,,,Beginner,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Suspension Trainer,1.0,None,0,Standing,Double Arm,Continuous,Neutral,No Load,Foot Elevated (Lateral),Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
1242,Single Arm Suspension Foot Elevated Contralateral Cossack Squat,,,Beginner,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Suspension Trainer,1.0,None,0,Standing,Single Arm,Continuous,Neutral,No Load,Foot Elevated (Lateral),Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
1243,Barbell Overhead Cossack Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Barbell,1.0,None,0,Standing,Double Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
1244,Barbell Front Rack Low Switch Cossack Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Barbell,1.0,None,0,Standing,Double Arm,Continuous,Pronated,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
1245,Barbell Back Rack Low Switch Cossack Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Barbell,1.0,None,0,Standing,Double Arm,Continuous,Pronated,Back Rack,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
1246,Barbell Back Rack Cossack Squat,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Barbell,1.0,None,0,Standing,Double Arm,Continuous,Pronated,Back Rack,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
1247,Barbell Front Rack Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Barbell,1.0,None,0,Standing,Double Arm,Continuous,Pronated,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
1248,Landmine Goblet Cossack Squat,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Landmine,1.0,None,0,Standing,Double Arm,Continuous,Goblet,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
1249,Landmine Goblet Low Switch Cossack Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Landmine,1.0,None,0,Standing,Double Arm,Continuous,Goblet,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
1250,Landmine Goblet Foot Elevated Cossack Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Landmine,1.0,None,0,Standing,Double Arm,Continuous,Goblet,Front Rack,Foot Elevated (Lateral),Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
1251,Landmine Low Hold Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Landmine,1.0,None,0,Standing,Double Arm,Continuous,Neutral,Low Hold,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
1252,Landmine Low Hold Low Switch Cossack Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Landmine,1.0,None,0,Standing,Double Arm,Continuous,Neutral,Low Hold,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
1253,Landmine Low Hold Foot Elevated Cossack Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Landmine,1.0,None,0,Standing,Double Arm,Continuous,Neutral,Low Hold,Foot Elevated (Lateral),Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
1254,Dumbbell Goblet Cossack Squat,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Dumbbell,1.0,None,0,Standing,Double Arm,Continuous,Goblet,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
1255,Single Arm Dumbbell Front Rack Contralateral Cossack Squat,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Dumbbell,1.0,None,0,Standing,Single Arm,Continuous,Neutral,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
1256,Double Dumbbell Overhead Low Switch Cossack Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Dumbbell,2.0,None,0,Standing,Double Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
1257,Double Dumbbell Overhead Foot Elevated Cossack Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Dumbbell,2.0,None,0,Standing,Double Arm,Continuous,Neutral,Overhead,Foot Elevated (Lateral),Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
1258,Double Dumbbell Front Rack Low Switch Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Dumbbell,2.0,None,0,Standing,Double Arm,Continuous,Neutral,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
1259,Double Dumbbell Front Rack Foot Elevated Cossack Squat,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Dumbbell,2.0,None,0,Standing,Double Arm,Continuous,Neutral,Front Rack,Foot Elevated (Lateral),Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
1260,Single Arm Dumbbell Front Rack Alternating Cossack Squat,,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Dumbbell,1.0,None,0,Standing,Single Arm,Continuous,Neutral,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
1261,Single Arm Dumbbell Front Rack Low Switch Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Dumbbell,1.0,None,0,Standing,Single Arm,Continuous,Neutral,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
1262,Dumbbell Low Hold Cossack Squat,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Dumbbell,1.0,None,0,Standing,Double Arm,Continuous,Neutral,Low Hold,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
1263,Dumbbell Low Hold Alternating Cossack Squat,,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Dumbbell,1.0,None,0,Standing,Double Arm,Continuous,Neutral,Low Hold,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
1264,Double Dumbbell Low Hold Low Switch Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Dumbbell,2.0,None,0,Standing,Double Arm,Continuous,Neutral,Low Hold,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
1265,Double Dumbbell Low Hold Foot Elevated Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Dumbbell,2.0,None,0,Standing,Double Arm,Continuous,Neutral,Low Hold,Foot Elevated (Lateral),Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
1266,Dumbbell Low Hold Low Switch Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Dumbbell,1.0,None,0,Standing,Double Arm,Continuous,Neutral,Low Hold,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
1267,Dumbbell Low Hold Foot Elevated Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Dumbbell,1.0,None,0,Standing,Double Arm,Continuous,Neutral,Low Hold,Foot Elevated (Lateral),Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
1268,Single Arm Dumbbell Overhead Contralateral Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Dumbbell,1.0,None,0,Standing,Single Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
1269,Single Arm Dumbbell Overhead Ipsilateral Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Dumbbell,1.0,None,0,Standing,Single Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
1270,Single Arm Kettlebell Bottoms Up Clean to Split Jerk,,,Advanced,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell,1.0,None,0,Staggered Stance,Single Arm,Continuous,Bottoms Up,Overhead,No Elevation,Combo Exercise,Vertical Push,Hip Hinge,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
1271,Alternating Single Arm Kettlebell Bottoms Up Clean to Split Jerk,,,Advanced,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell,1.0,None,0,Staggered Stance,Single Arm,Alternating,Bottoms Up,Overhead,No Elevation,Combo Exercise,Vertical Push,Hip Hinge,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
1272,Double Kettlebell Bottoms Up Split Jerk,,,Advanced,Shoulders,Anterior Deltoids,Triceps Brachii,Gluteus Minimus,Kettlebell,2.0,None,0,Staggered Stance,Double Arm,Continuous,Bottoms Up,Overhead,No Elevation,Single Exercise,Vertical Push,Hip Hinge,,Sagittal Plane,,,Full Body,Push,Compound,Unilateral,Unsorted*
1273,Clubbell Order Alternating Cossack Squat,,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Clubbell,1.0,None,0,Standing,Double Arm,Continuous,Neutral,Order,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
1274,Clubbell Order Cossack Squat,,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Clubbell,1.0,None,0,Standing,Double Arm,Continuous,Neutral,Order,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
1275,Clubbell Order Low Switch Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Clubbell,1.0,None,0,Standing,Double Arm,Continuous,Neutral,Order,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
1276,Clubbell Order Foot Elevated Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Clubbell,1.0,None,0,Standing,Double Arm,Continuous,Neutral,Order,Foot Elevated (Lateral),Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
1277,Double Clubbell Order Alternating Cossack Squat,,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Clubbell,2.0,None,0,Standing,Double Arm,Continuous,Neutral,Order,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
1278,Double Clubbell Order Cossack Squat,,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Clubbell,2.0,None,0,Standing,Double Arm,Continuous,Neutral,Order,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
1279,Double Clubbell Order Low Switch Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Clubbell,2.0,None,0,Standing,Double Arm,Continuous,Neutral,Order,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
1280,Double Clubbell Order Foot Elevated Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Clubbell,2.0,None,0,Standing,Double Arm,Continuous,Neutral,Order,Foot Elevated (Lateral),Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
1281,Clubbell Front Flag Hold Cossack Squat,,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Clubbell,1.0,None,0,Standing,Double Arm,Continuous,Neutral,Front Flag Hold,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
1282,Clubbell Front Flag Hold Alternating Cossack Squat,,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Clubbell,1.0,None,0,Standing,Double Arm,Continuous,Neutral,Front Flag Hold,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
1283,Clubbell Front Flag Hold Low Switch Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Clubbell,1.0,None,0,Standing,Double Arm,Continuous,Neutral,Front Flag Hold,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
1284,Clubbell Front Flag Hold Foot Elevated Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Clubbell,1.0,None,0,Standing,Double Arm,Continuous,Neutral,Front Flag Hold,Foot Elevated (Lateral),Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
1285,Double Clubbell Front Flag Hold Cossack Squat,,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Clubbell,2.0,None,0,Standing,Double Arm,Continuous,Neutral,Front Flag Hold,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
1286,Double Clubbell Front Flag Hold Alternating Cossack Squat,,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Clubbell,2.0,None,0,Standing,Double Arm,Continuous,Neutral,Front Flag Hold,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
1287,Double Clubbell Front Flag Hold Low Switch Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Clubbell,2.0,None,0,Standing,Double Arm,Continuous,Neutral,Front Flag Hold,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
1288,Double Clubbell Front Flag Hold Foot Elevated Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Clubbell,2.0,None,0,Standing,Double Arm,Continuous,Neutral,Front Flag Hold,Foot Elevated (Lateral),Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
1289,Single Arm Clubbell Order Contralateral Cossack Squat,,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Clubbell,1.0,None,0,Standing,Single Arm,Continuous,Neutral,Order,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
1290,Single Arm Clubbell Order Alternating Cossack Squat,,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Clubbell,1.0,None,0,Standing,Single Arm,Continuous,Neutral,Order,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
1291,Single Arm Clubbell Order Low Switch Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Clubbell,1.0,None,0,Standing,Single Arm,Continuous,Neutral,Order,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
1292,Single Arm Clubbell Order Foot Elevated Contralateral Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Clubbell,1.0,None,0,Standing,Single Arm,Continuous,Neutral,Order,Foot Elevated (Lateral),Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
1293,Single Arm Clubbell Front Flag Hold Contralateral Cossack Squat,,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Clubbell,1.0,None,0,Standing,Single Arm,Continuous,Neutral,Front Flag Hold,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
1294,Single Arm Clubbell Front Flag Hold Alternating Cossack Squat,,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Clubbell,1.0,None,0,Standing,Single Arm,Continuous,Neutral,Front Flag Hold,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
1295,Single Arm Clubbell Front Flag Hold Low Switch Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Clubbell,1.0,None,0,Standing,Single Arm,Continuous,Neutral,Front Flag Hold,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
1296,Single Arm Clubbell Front Flag Hold Foot Elevated Contralateral Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Clubbell,1.0,None,0,Standing,Single Arm,Continuous,Neutral,Front Flag Hold,Foot Elevated (Lateral),Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
1297,Heavy Sandbag Bear Hug Carry,Video Demonstration,Video Explanation,Intermediate,Abdominals,Rectus Abdominis,Biceps Brachii,Gluteus Maximus,Heavy Sandbag,1.0,None,0,Walking,Double Arm,Continuous,Neutral,Bear Hug,No Elevation,Single Exercise,Loaded Carry,,,Sagittal Plane,,,Full Body,Other,Compound,Bilateral,Unsorted*
